date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:18	2849/2849	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b21-6186118a-1bb6fe51db8c12b1;gz%22	https://frenify.net/envato/frenify/html/resumo/1/svg/social/pinterest.svg	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/svg/social/pinterest.svg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:05:18	2350/2350	---M-Z	200	added ('OK')	image/svg+xml	etag:%2292e-6186118a-37c29f5676a027bf;gz%22	https://frenify.net/envato/frenify/html/resumo/1/svg/social/behance.svg	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/svg/social/behance.svg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:05:18	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261c0d288-4d7%22	https://frenify.net/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/hp/Desktop/web%20download/frenify.net/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:05:18	89501/89501	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215d9d-61861187-12dc18ef6bee3e07;gz%22	https://frenify.net/envato/frenify/html/resumo/1/js/jquery.js?ver=4	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/js/jquery7dd3.js	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:05:20	12559/12559	---M-Z	200	added ('OK')	application/x-javascript	etag:%22310f-61861187-560a61d0c7314af7;gz%22	https://frenify.net/envato/frenify/html/resumo/1/js/typed.js?ver=4	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/js/typed7dd3.js	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:05:20	44342/44342	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ad36-61861187-36cc275312f23231;gz%22	https://frenify.net/envato/frenify/html/resumo/1/js/owl-carousel.js?ver=4	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/js/owl-carousel7dd3.js	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:05:20	9195/9195	---M-Z	200	added ('OK')	application/x-javascript	etag:%2223eb-61861187-efd258c9f833063a;gz%22	https://frenify.net/envato/frenify/html/resumo/1/js/waypoints.js?ver=4	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/js/waypoints7dd3.js	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:05:20	57010/57010	---M-Z	200	added ('OK')	application/x-javascript	etag:%22deb2-61861187-a933551a98f4e07e;gz%22	https://frenify.net/envato/frenify/html/resumo/1/js/nicescroll.js?ver=4	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/js/nicescroll7dd3.js	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:05:21	10045/10045	---M-Z	200	added ('OK')	application/x-javascript	etag:%22273d-6189022a-32a67a6702681e84;gz%22	https://frenify.net/envato/frenify/html/resumo/1/js/init.js?ver=4	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/js/init7dd3.js	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:05:22	2457/2457	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Dec%202019%2012:14:53%20GMT	https://frenify.net/envato/frenify/html/resumo/1/css/owl.video.play.png	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/css/owl.video.play.png	(from https://frenify.net/envato/frenify/html/resumo/1/css/owl-carousel.css?ver=4)
20:05:23	59/59	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Dec%202021%2014:35:23%20GMT	https://frenify.net/envato/frenify/html/resumo/1/modal/contact.php	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/modal/contact.html	(from https://frenify.net/envato/frenify/html/resumo/1/js/init.js?ver=4)
